ITEM: TIMESTEP
1
ITEM: NUMBER OF ATOMS
4000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 3.6149999999999999e+01
0.0000000000000000e+00 3.6149999999999999e+01
0.0000000000000000e+00 3.6149999999999999e+01
ITEM: ATOMS id type x y z fx fy fz 
99 1 16.2675 7.23 1.8075 5.35683e-15 -2.85882e-15 1.67921e-15 
98 1 16.2675 9.0375 7.98649e-16 4.60049e-15 4.73233e-15 7.05686e-15 
100 1 14.46 9.0375 1.8075 -2.04697e-16 4.76225e-15 1.59681e-15 
121 1 7.75492e-16 10.845 7.70106e-16 7.21645e-15 -4.27783e-15 6.87644e-15 
123 1 1.8075 10.845 1.8075 2.05391e-15 -5.60576e-15 1.64105e-15 
122 1 1.8075 12.6525 7.69703e-16 1.19349e-15 2.22045e-16 6.87297e-15 
124 1 7.72261e-16 12.6525 1.8075 5.88418e-15 8.74301e-16 1.79023e-15 
125 1 3.615 10.845 7.64721e-16 -1.30972e-16 -5.59448e-15 7.24421e-15 
127 1 5.4225 10.845 1.8075 2.55004e-16 -6.26452e-15 1.80411e-15 
126 1 5.4225 12.6525 7.71183e-16 2.39392e-16 1.96024e-16 7.02216e-15 
128 1 3.615 12.6525 1.8075 -2.09902e-16 2.29851e-16 1.27676e-15 
129 1 7.23 10.845 7.62567e-16 -2.83454e-15 -4.92488e-15 7.10543e-15 
131 1 9.0375 10.845 1.8075 5.42968e-15 -5.64002e-15 2.33147e-15 
130 1 9.0375 12.6525 8.12112e-16 4.26915e-15 4.45824e-16 6.93889e-15 
132 1 7.23 12.6525 1.8075 -2.2482e-15 2.02095e-16 1.27676e-15 
133 1 10.845 10.845 8.03496e-16 -4.71064e-15 -4.79131e-15 6.99441e-15 
135 1 12.6525 10.845 1.8075 2.55004e-16 -5.08231e-15 1.69309e-15 
134 1 12.6525 12.6525 8.03496e-16 4.42354e-16 4.19803e-16 6.7446e-15 
136 1 10.845 12.6525 1.8075 -5.02029e-15 2.85362e-16 1.66533e-15 
